[error] `inotify-tools` is needed to run `file_system` for your system, check https://github.com/rvoicilas/inotify-tools/wiki for more information about how to install it. If it's already installed but not be found, appoint executable file with `config.exs` or `FILESYSTEM_FSINOTIFY_EXECUTABLE_FILE` env.
[warning] Not able to start file_system worker, reason: {:error, :fs_inotify_bootstrap_error}
[warning] Could not start Phoenix live-reload because we cannot listen to the file system.
You don't need to worry! This is an optional feature used during development to
refresh your browser when you save files and it does not affect production.

[info] Running ChatsWeb.Endpoint with Bandit 1.8.0 at 127.0.0.1:4000 (http)
[info] Access ChatsWeb.Endpoint at http://localhost:4000
[watch] build finished, watching for changes...
≈ tailwindcss v4.1.7

sh: 1: watchman: not found
Done in 70ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 4ms
Done in 3ms
Done in 3ms
Done in 1ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 2ms
Done in 3ms
Done in 3ms
Done in 2ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 3ms
Done in 1ms
Done in 1ms
Done in 2ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
Done in 1ms
